metric,value,task,file
congruent_accuracy,1.0,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
congruent_omission_rate,0.0,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
congruent_rt,446.5,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_accuracy,1.0,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_omission_rate,0.0,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_rt,480.5,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
proportion_feedback,0.0,flanker_practice,sub-s4_task-flanker_rdoc_practice__run-1.json.parquet
