metric,value,task,file
congruent_accuracy,0.8333333333333334,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
congruent_omission_rate,0.0,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
congruent_rt,528.5,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_accuracy,0.8333333333333334,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_omission_rate,0.0,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
incongruent_rt,691.5,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
proportion_feedback,0.75,flanker_practice,sub-s5_task-flanker_rdoc_practice__run-1.json.parquet
