metric,value,task,file
congruent_accuracy,0.0,stroop,sub-sTest_task-stroop_run-1.json.parquet
congruent_omission_rate,0.0,stroop,sub-sTest_task-stroop_run-1.json.parquet
congruent_rt,,stroop,sub-sTest_task-stroop_run-1.json.parquet
incongruent_accuracy,0.0,stroop,sub-sTest_task-stroop_run-1.json.parquet
incongruent_omission_rate,0.0,stroop,sub-sTest_task-stroop_run-1.json.parquet
incongruent_rt,,stroop,sub-sTest_task-stroop_run-1.json.parquet
proportion_feedback,0.8,stroop,sub-sTest_task-stroop_run-1.json.parquet
