metric,value,task,file
congruent_accuracy,1.0,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
congruent_omission_rate,0.0,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
congruent_rt,668.75,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
incongruent_accuracy,1.0,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
incongruent_omission_rate,0.0,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
incongruent_rt,794.0,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
proportion_feedback,0.6666666666666666,stroop_practice,sub-s6_task-stroop_rdoc_practice__run-1.parquet
