metric,value,task,file
congruent_accuracy,1.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
congruent_omission_rate,0.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
congruent_rt,656.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
incongruent_accuracy,1.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
incongruent_omission_rate,0.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
incongruent_rt,413.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
proportion_feedback,0.0,flanker_practice,sub-s6_task-flanker_rdoc_practice__run-1.parquet
