metric,value,task,file
congruent_accuracy,1.0,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
congruent_omission_rate,0.0,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
congruent_rt,555.5,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
incongruent_accuracy,0.5,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
incongruent_omission_rate,0.0,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
incongruent_rt,870.0,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
proportion_feedback,0.0,stroop_practice,sub-s3_task-stroop_rdoc_practice__run-1.json.parquet
